shard,split,video_id,num_frames,min_frame_id,max_frame_id,num_gaps,max_gap,monotonic
Dataset_Shard_0000000_0099999,test,-VAjjH6TTts,1194,2378,3571,0,1,True
Dataset_Shard_0000000_0099999,test,-jo_cPHYmjg,915,4109,5023,0,1,True
Dataset_Shard_0000000_0099999,test,-wUKLCvobpI,1980,5308,7287,0,1,True
Dataset_Shard_0000000_0099999,test,3cwtNTYOszU,783,34035,34817,0,1,True
Dataset_Shard_0000000_0099999,test,46-qefy8Nwc,372,35834,36205,0,1,True
Dataset_Shard_0000000_0099999,test,4bA4M-spkoI,724,42788,43511,0,1,True
Dataset_Shard_0000000_0099999,test,5Cq1OqWFAzw,1020,46097,47116,0,1,True
Dataset_Shard_0000000_0099999,test,5oBOMUXaJwc,807,51394,52200,0,1,True
Dataset_Shard_0000000_0099999,test,8e9ejcfVQfY,1004,75681,76684,0,1,True
Dataset_Shard_0000000_0099999,test,9azhMaMU4Eo,1524,82322,83845,0,1,True
Dataset_Shard_0000000_0099999,train,-Hs-zuBOlQE,539,0,538,0,1,True
Dataset_Shard_0000000_0099999,train,-J04CE5dA74,1382,539,1920,0,1,True
Dataset_Shard_0000000_0099999,train,-Qoo3Uq5-50,457,1921,2377,0,1,True
Dataset_Shard_0000000_0099999,train,-bqSDAsWptU,537,3572,4108,0,1,True
Dataset_Shard_0000000_0099999,train,-tqqp2KwCIQ,284,5024,5307,0,1,True
Dataset_Shard_0000000_0099999,train,02MD08BgFZ0,379,7288,7666,0,1,True
Dataset_Shard_0000000_0099999,train,0FxsmwVeriw,1478,7667,9144,0,1,True
Dataset_Shard_0000000_0099999,train,0NN6ySHCHVA,339,9145,9483,0,1,True
Dataset_Shard_0000000_0099999,train,0TJxBDyP9dw,565,9484,10048,0,1,True
Dataset_Shard_0000000_0099999,train,0U2jrFZuBZM,1221,10049,11269,0,1,True
Dataset_Shard_0000000_0099999,train,0ZSqAjagrVo,1307,11270,12576,0,1,True
Dataset_Shard_0000000_0099999,train,0uLJTnNb2Es,678,12577,13254,0,1,True
Dataset_Shard_0000000_0099999,train,0w6Ky8PBYSQ,467,13255,13721,0,1,True
Dataset_Shard_0000000_0099999,train,0zLSpoyKV_A,852,14372,15223,0,1,True
Dataset_Shard_0000000_0099999,train,10gPc7VqgJk,828,15224,16051,0,1,True
Dataset_Shard_0000000_0099999,train,1ER3kxd2RvQ,1340,16052,17391,0,1,True
Dataset_Shard_0000000_0099999,train,1FhZqPfKWjE,1351,17392,18742,0,1,True
Dataset_Shard_0000000_0099999,train,1YmFjGfQGnw,342,18743,19084,0,1,True
Dataset_Shard_0000000_0099999,train,1cMfYuRTDX4,624,19085,19708,0,1,True
Dataset_Shard_0000000_0099999,train,1heJXaiMZBw,786,19709,20494,0,1,True
Dataset_Shard_0000000_0099999,train,1hla9mZZWKM,817,20495,21311,0,1,True
Dataset_Shard_0000000_0099999,train,1jkQfyIl7Kg,868,21312,22179,0,1,True
Dataset_Shard_0000000_0099999,train,1kyGOkXUEKI,653,22180,22832,0,1,True
Dataset_Shard_0000000_0099999,train,27uEnvzS8O4,584,24104,24687,0,1,True
Dataset_Shard_0000000_0099999,train,2KbVOj8YcRw,1046,24688,25733,0,1,True
Dataset_Shard_0000000_0099999,train,2ZnT6CqmPoQ,942,27171,28112,0,1,True
Dataset_Shard_0000000_0099999,train,2aDuMKNR8Z0,1008,28113,29120,0,1,True
Dataset_Shard_0000000_0099999,train,2el-ZR4A4D4,398,29121,29518,0,1,True
Dataset_Shard_0000000_0099999,train,3AR1FxFue7c,665,29519,30183,0,1,True
Dataset_Shard_0000000_0099999,train,3Cg8-eoNXdY,642,30184,30825,0,1,True
Dataset_Shard_0000000_0099999,train,3YwJ5Fzodfk,1782,32253,34034,0,1,True
Dataset_Shard_0000000_0099999,train,3p5gb_JqO78,242,34818,35059,0,1,True
Dataset_Shard_0000000_0099999,train,3sty8XW-6FU,307,35060,35366,0,1,True
Dataset_Shard_0000000_0099999,train,3xK6shdTeCs,467,35367,35833,0,1,True
Dataset_Shard_0000000_0099999,train,49dGxeU0X5E,295,36206,36500,0,1,True
Dataset_Shard_0000000_0099999,train,4EtAcruEhTI,870,36951,37820,0,1,True
Dataset_Shard_0000000_0099999,train,4FjwzNlLCdU,1475,38382,39856,0,1,True
Dataset_Shard_0000000_0099999,train,4KfWaQz2Qxg,882,39857,40738,0,1,True
Dataset_Shard_0000000_0099999,train,4OwtoyYoSKY,1075,40739,41813,0,1,True
Dataset_Shard_0000000_0099999,train,4ZL5KtH01eQ,974,41814,42787,0,1,True
Dataset_Shard_0000000_0099999,train,4ciVQzZxNkk,403,43512,43914,0,1,True
Dataset_Shard_0000000_0099999,train,4xuwsEvzX1g,394,43915,44308,0,1,True
Dataset_Shard_0000000_0099999,train,51bXx1vyjBE,1207,44309,45515,0,1,True
Dataset_Shard_0000000_0099999,train,59_VE9iR-fE,581,45516,46096,0,1,True
Dataset_Shard_0000000_0099999,train,5GLtwzZw3tc,1146,47117,48262,0,1,True
Dataset_Shard_0000000_0099999,train,5HzD-gmSlU0,1152,48263,49414,0,1,True
Dataset_Shard_0000000_0099999,train,5ITYjnz12-Y,532,49415,49946,0,1,True
Dataset_Shard_0000000_0099999,train,5USYVhzhMes,1447,49947,51393,0,1,True
Dataset_Shard_0000000_0099999,train,5sNeoy5PKug,1220,52201,53420,0,1,True
Dataset_Shard_0000000_0099999,train,5smiMjCVrkg,1216,53421,54636,0,1,True
Dataset_Shard_0000000_0099999,train,6KzSnrEFKlU,593,54637,55229,0,1,True
Dataset_Shard_0000000_0099999,train,6QNI1KTP-uA,2470,55230,57699,0,1,True
Dataset_Shard_0000000_0099999,train,6QeMNsQww3A,599,57700,58298,0,1,True
Dataset_Shard_0000000_0099999,train,6mmq34Ib8xg,585,58299,58883,0,1,True
Dataset_Shard_0000000_0099999,train,6oSMlrVPW8w,1056,58884,59939,0,1,True
Dataset_Shard_0000000_0099999,train,6rdUDJMfJQc,843,59940,60782,0,1,True
Dataset_Shard_0000000_0099999,train,6s1nSHVMZwM,678,60783,61460,0,1,True
Dataset_Shard_0000000_0099999,train,6ys4etJ1IFg,3462,61461,64922,0,1,True
Dataset_Shard_0000000_0099999,train,77rVIqWlxNU,1408,64923,66330,0,1,True
Dataset_Shard_0000000_0099999,train,79n77IIyriY,458,66331,66788,0,1,True
Dataset_Shard_0000000_0099999,train,7Uke7HVpaeA,951,67992,68942,0,1,True
Dataset_Shard_0000000_0099999,train,7ZUOn2pZRls,1462,68943,70404,0,1,True
Dataset_Shard_0000000_0099999,train,7erD56xKJaM,454,70405,70858,0,1,True
Dataset_Shard_0000000_0099999,train,7nFvvB200qQ,922,70859,71780,0,1,True
Dataset_Shard_0000000_0099999,train,7nYRFn4c0B8,640,71781,72420,0,1,True
Dataset_Shard_0000000_0099999,train,7tf2BC4mC8s,499,72421,72919,0,1,True
Dataset_Shard_0000000_0099999,train,87ygy8_a7Uk,893,72920,73812,0,1,True
Dataset_Shard_0000000_0099999,train,8BgfmtrtmLI,1101,73813,74913,0,1,True
Dataset_Shard_0000000_0099999,train,8Fo-MdmXmBE,767,74914,75680,0,1,True
Dataset_Shard_0000000_0099999,train,8efNcdaz4zU,974,76685,77658,0,1,True
Dataset_Shard_0000000_0099999,train,8rYV4ViS9U4,1007,77659,78665,0,1,True
Dataset_Shard_0000000_0099999,train,91wTIWNvkCg,812,78666,79477,0,1,True
Dataset_Shard_0000000_0099999,train,96ChCVGsYPM,846,79478,80323,0,1,True
Dataset_Shard_0000000_0099999,train,9AE2GviExXs,1233,80324,81556,0,1,True
Dataset_Shard_0000000_0099999,train,9MPPZdAWF4U,176,81557,81732,0,1,True
Dataset_Shard_0000000_0099999,train,9Tq2xbgsGkM,589,81733,82321,0,1,True
Dataset_Shard_0000000_0099999,train,9lVD-SGOSjg,2015,83846,85860,0,1,True
Dataset_Shard_0000000_0099999,train,9oBVaGfsKf4,1581,85861,87441,0,1,True
Dataset_Shard_0000000_0099999,train,9vQKn6w95ow,710,87442,88151,0,1,True
Dataset_Shard_0000000_0099999,train,9yQHxxtlxt4,629,88152,88780,0,1,True
Dataset_Shard_0000000_0099999,train,A2dimG5cbgc,1268,88781,90048,0,1,True
Dataset_Shard_0000000_0099999,train,AE1Dd0KPmlw,1258,90049,91306,0,1,True
Dataset_Shard_0000000_0099999,train,AG0EifkPvGY,760,91307,92066,0,1,True
Dataset_Shard_0000000_0099999,train,AKC7bYyldHo,1625,92067,93691,0,1,True
Dataset_Shard_0000000_0099999,train,AOHQ0aYQ4QI,811,93692,94502,0,1,True
Dataset_Shard_0000000_0099999,train,AQ_qy4s9-58,272,94503,94774,0,1,True
Dataset_Shard_0000000_0099999,train,AXEbpZ0lhEM,1542,94775,96316,0,1,True
Dataset_Shard_0000000_0099999,train,Aw4Vaqqq_Eg,330,97086,97415,0,1,True
Dataset_Shard_0000000_0099999,train,Aymbap8XcG8,1636,97416,99051,0,1,True
Dataset_Shard_0000000_0099999,train,AzqgcU5_3mo,641,99052,99692,0,1,True
